Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3014.02397903722/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Noble Address,Dydx Address
0xe3aead5934019470851c5829f8f8b74b2236b5a1e17571275837ca889a562d96,18683258,1701333203,2023-11-30 08:33:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004422588100103661,13.3297865831171,2052.93,,,Receive Message,noble14ucs58vtg2sdv60ms7mnd5e0sutr93urgktj6m,dydx14ucs58vtg2sdv60ms7mnd5e0sutr93urfvs7zz
0x1d99b203fe14e30fad8742e8726ad8a9e5fc6de7d15408882b94f3da119d9139,18683449,1701335495,2023-11-30 09:11:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.00512633632790873,15.4509006169265,2052.93,,,Receive Message,noble19n0z3k6v75mfy254a8ktjha375h42z6pvrzyq2,dydx19n0z3k6v75mfy254a8ktjha375h42z6pdeegcn
0x06edbdcafc83de648159ac9dbbaf0390197d1aa9b4efcf10b996d752652ac081,18685514,1701360551,2023-11-30 16:09:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.012302096243712336,37.0788130709727,2052.93,,,Receive Message,noble1s6qkg73f0n3v4cy9hgec3enehkaafr274f4ecn,dydx1s6qkg73f0n3v4cy9hgec3enehkaafr275nw4q2
0xd2726b2b5c09a3f36b12c9c7189d19b207bfba261048efa65afceceded63ba14,18685722,1701363071,2023-11-30 16:51:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.007168018719927828,21.6045803040502,2052.93,,,Receive Message,noble1glkwwjmd75j9a8rg5m6xxk7lzzzdakf0d2rfj3,dydx1glkwwjmd75j9a8rg5m6xxk7lzzzdakf0vsc92g
0x788c458456de89ac7b067cdd8de0de60ed1df55f27399f5f5f332b4b39a43ab4,18685781,1701363779,2023-11-30 17:02:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.011703497591632,35.2746223797832,2052.93,,,Receive Message,noble1ajumguhh0895ehnp6ht9seq57gmd8mmzptx5pl,dydx1ajumguhh0895ehnp6ht9seq57gmd8mmzq3acex
0xf52414ef3d8173eade91131458f97a130d992d361954fb31e01b92329e9bfa51,18686860,1701376859,2023-11-30 20:40:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.015620068680125208,47.0792615561056,2052.93,,,Receive Message,noble1qrwvjwd0tpaxtmqu6zzduwpt9y4tr9pnzg9mll,dydx1qrwvjwd0tpaxtmqu6zzduwpt9y4tr9pnrj7h8x
0x73b5b9c05c34c40294e3a14edb89127d6093c3519e2643fd99b45e64add88f0a,18687208,1701381047,2023-11-30 21:50:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.012606501112550061,37.9962966449853,2052.93,,,Receive Message,noble1mdvrx5y6zc2fc3x96u0vhx0r4ste26vf3uzk4j,dydx1mdvrx5y6zc2fc3x96u0vhx0r4ste26vfsxe6dt
0xea4453f3ea5a46c97bc459634859f5a4a491e7b7aec5b2e40328b6345e802323,18687347,1701382715,2023-11-30 22:18:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.011058381297304644,33.3302263994129,2052.93,,,Receive Message,noble153c2vvnrhvmm8x43uktwe8f6h2l6pk7nr5kepf,dydx153c2vvnrhvmm8x43uktwe8f6h2l6pk7nzwd4es
0xb7d1c808d457438b1267759105ef337ee6b8765b76d835b1bcc7cbd6023165ed,18687379,1701383099,2023-11-30 22:24:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.008314753286638112,25.0608657857058,2052.93,,,Receive Message,noble153c2vvnrhvmm8x43uktwe8f6h2l6pk7nr5kepf,dydx153c2vvnrhvmm8x43uktwe8f6h2l6pk7nzwd4es
0x64bb258084ab929181cdb31c4a8a9f1d0088b4be8f5065a1976cb873b72b6566,18687432,1701383747,2023-11-30 22:35:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.008260383757439367,24.8969947209718,2052.93,,,Receive Message,noble153c2vvnrhvmm8x43uktwe8f6h2l6pk7nr5kepf,dydx153c2vvnrhvmm8x43uktwe8f6h2l6pk7nzwd4es
